river,reachid,Str_Order,iso_pred,assignment_sum,assignment_individuals,assignment_rescale,assignment_norm
Kusko,7,3,0.708654736,0,0,0,0
Kusko,151,4,0.707849574,0,0,0,0
Kusko,156,3,0.705511964,0,0,0,0
Kusko,205,4,0.70775438,0,0,0,0
Kusko,206,4,0.706804988,0,0,0,0
Kusko,210,4,0.706804988,0,0,0,0
Kusko,259,4,0.706433198,0,0,0,0
Kusko,358,3,0.706828389,0,0,0,0
Kusko,360,4,0.70693026,0,0,0,0
Kusko,127,3,0.707849574,0,0,0,0
Kusko,1244,3,0.706719267,0,0,0,0
Kusko,1245,7,0.706969331,0,0,0,0
Kusko,608,3,0.705630818,0,0,0,0
Kusko,362,4,0.707002547,0,0,0,0
Kusko,40,3,0.708654736,0,0,0,0
Kusko,44,3,0.708344558,0,0,0,0
Kusko,47,3,0.706932952,0,0,0,0
Kusko,52,3,0.707585838,0,0,0,0
Kusko,56,3,0.708362478,0,0,0,0
Kusko,57,4,0.708555177,0,0,0,0
Kusko,58,3,0.708362478,0,0,0,0
Kusko,60,3,0.707018141,0,0,0,0
Kusko,69,3,0.706972411,0,0,0,0
Kusko,71,4,0.706969987,0,0,0,0
Kusko,74,3,0.706972411,0,0,0,0
Kusko,79,4,0.7071631,0,0,0,0
Kusko,81,4,0.707849574,0,0,0,0
Kusko,83,4,0.7071631,0,0,0,0
Kusko,87,4,0.707148127,0,0,0,0
Kusko,89,3,0.706998007,0,0,0,0
Kusko,95,4,0.708282683,0,0,0,0
Kusko,99,3,0.707193923,0,0,0,0
Kusko,105,3,0.705093309,0,0,0,0
Kusko,199,3,0.705653688,0,0,0,0
Kusko,201,4,0.706903105,0,0,0,0
Kusko,313,3,0.706828389,0,0,0,0
Kusko,405,3,0.706808328,0,0,0,0
Kusko,228,4,0.706326726,0,0,0,0
Kusko,388,3,0.706808328,0,0,0,0
Kusko,320,3,0.705697467,0,0,0,0
Kusko,323,3,0.706871479,0,0,0,0
Kusko,324,3,0.706871479,0,0,0,0
Kusko,399,3,0.706816927,0,0,0,0
Kusko,484,4,0.706514775,0,0,0,0
Kusko,486,3,0.706753732,0,0,0,0
Kusko,548,4,0.706514775,0,0,0,0
Kusko,637,3,0.706451644,0,0,0,0
Kusko,638,5,0.706962782,0,0,0,0
Kusko,641,5,0.706954218,0,0,0,0
Kusko,642,3,0.705630818,0,0,0,0
Kusko,643,5,0.706962782,0,0,0,0
Kusko,745,3,0.705709221,0,0,0,0
Kusko,747,4,0.706077228,0,0,0,0
Kusko,748,3,0.70509951,30.041584631631867,1.093940762359325,7.882669815697006e-6,0.04531188800933145
Kusko,5599,6,0.705097997,30.018563261679823,1.0931024572131518,7.876629193663844e-6,0.0452771647498936
Kusko,11522,5,0.708202588,43.98833241110684,1.6018006534200488,1.1542184088877169e-5,0.0663478447082519
Kusko,7473,5,0.707994739,41.53549181196294,1.5124823851637175,1.0898578473838163e-5,0.06264821168635987
Kusko,1642,7,0.707039628,0,0,0,0
Kusko,1643,3,0.70621078,51.10012257264613,1.8607709190185593,1.3408260540214199e-5,0.07707459708489672
Kusko,1976,3,0.706096471,0,0,0,0
Kusko,513,3,0.706805366,0,0,0,0
Kusko,888,4,0.707127327,0,0,0,0
Kusko,890,4,0.705878729,0,0,0,0
Kusko,891,4,0.707127327,0,0,0,0
Kusko,697,3,0.70681130700000006,0,0,0,0
Kusko,698,5,0.706970836,0,0,0,0
Kusko,699,3,0.70509951,30.041584631631867,1.093940762359325,7.882669815697006e-6,0.04531188800933145
Kusko,983,3,0.70462852,0,0,0,0
Kusko,1075,4,0.707186265,0,0,0,0
Kusko,1076,7,0.706976329,0,0,0,0
Kusko,1083,7,0.708652216,0,0,0,0
Kusko,1084,4,0.707103504,0,0,0,0
Kusko,1090,6,0.706527896,0,0,0,0
Kusko,536,3,0.706805366,0,0,0,0
Kusko,597,3,0.706804172,0,0,0,0
Kusko,1275,3,0.706694115,0,0,0,0
Kusko,1277,3,0.706620493,0,0,0,0
Kusko,1280,6,0.706862598,0,0,0,0
Kusko,11550,3,0.706691925,31.285758479264466,1.1392463780276023,8.209131011218847e-6,0.04718848229486415
Kusko,12321,3,0.707051109,0,0,0,0
Kusko,12322,3,0.707619073,0,0,0,0
Kusko,1925,4,0.704685281,10.971278155322782,0.39951049641545044,2.8787750118719704e-6,0.01654803943230628
Kusko,2001,5,0.705067847,27.23732665848456,0.9918259058158757,7.146855112464583e-6,0.04108221022147159
Kusko,2068,5,0.70509903,30.034293285362548,1.0936752536987704,7.880756625169354e-6,0.04530089043148582
Kusko,2069,6,0.706882668,0,0,0,0
Kusko,5545,3,0.705551761,64.65301067772072,2.354288718682996,1.6964429207458944e-5,0.09751649306176623
Kusko,10217,3,0.706440615,38.97582780311135,1.4192742261547386,1.0226943256578173e-5,0.05878745632565639
Kusko,401,5,0.706754474,0,0,0,0
Kusko,263,3,0.705677599,0,0,0,0
Kusko,430,5,0.706973514,0,0,0,0
Kusko,435,4,0.706822571,0,0,0,0
Kusko,499,5,0.706775313,0,0,0,0
Kusko,275,3,0.705697467,0,0,0,0
Kusko,412,4,0.706837876,0,0,0,0
Kusko,413,5,0.706811908,0,0,0,0
Kusko,108,4,0.707117326,0,0,0,0
Kusko,109,4,0.7071631,0,0,0,0
Kusko,115,4,0.708248081,0,0,0,0
Kusko,119,3,0.707182937,0,0,0,0
Kusko,124,4,0.707271263,0,0,0,0
Kusko,126,3,0.705511964,0,0,0,0
Kusko,132,4,0.708227188,0,0,0,0
Kusko,133,4,0.707271263,0,0,0,0
Kusko,146,4,0.707293628,0,0,0,0
Kusko,160,4,0.707293628,0,0,0,0
Kusko,161,4,0.708184613,0,0,0,0
Kusko,169,4,0.707849574,0,0,0,0
Kusko,171,4,0.707148245,0,0,0,0
Kusko,173,3,0.706325322,0,0,0,0
Kusko,175,4,0.706903105,0,0,0,0
Kusko,179,3,0.705511964,0,0,0,0
Kusko,180,3,0.706164196,0,0,0,0
Kusko,184,3,0.706671533,0,0,0,0
Kusko,185,4,0.706804988,0,0,0,0
Kusko,189,3,0.705642147,0,0,0,0
Kusko,204,3,0.706671533,0,0,0,0
Kusko,211,4,0.706326726,0,0,0,0
Kusko,220,4,0.706789103,0,0,0,0
Kusko,229,4,0.706879954,0,0,0,0
Kusko,245,4,0.70775438,0,0,0,0
Kusko,246,3,0.705653688,0,0,0,0
Kusko,247,4,0.706880805,0,0,0,0
Kusko,248,4,0.706433198,0,0,0,0
Kusko,250,4,0.706821136,0,0,0,0
Kusko,254,4,0.70773583,0,0,0,0
Kusko,270,4,0.706872198,0,0,0,0
Kusko,273,4,0.706433198,0,0,0,0
Kusko,483,3,0.706824056,0,0,0,0
