basin,year,fish_id,threshold,retained_km,basin_km,retained_pct
Kuskokwim,2017,Kuskokwim_2017_0001,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0002,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0003,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0004,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0005,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0006,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0007,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0008,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0009,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0010,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0011,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0012,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0013,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0014,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0015,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0016,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0017,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0018,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0019,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0020,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0021,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0022,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0023,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0024,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0025,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0026,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0027,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0028,0,13053.2503189581,17384.97530681032,75.08351371568916
