reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
902,3,0.708202205909,0,0,0,0
978,3,0.712457288803,0,0,0,0
1003,4,0.71245321383,0,0,0,0
1030,4,0.71244935288,0,0,0,0
1383,6,0.709780052343,0,0,0,0
925,3,0.708218218016,0,0,0,0
927,4,0.708184113175,0,0,0,0
935,3,0.712462813981,0,0,0,0
947,9,0.714111216186,0,0,0,0
950,3,0.708146882297,0,0,0,0
951,3,0.708117892464,0,0,0,0
959,9,0.714081268719,0,0,0,0
961,3,0.712456972183,0,0,0,0
971,3,0.708202874146,0,0,0,0
976,3,0.708229190948,0,0,0,0
979,3,0.707708163035,0,0,0,0
984,3,0.708119120176,0,0,0,0
992,3,0.712458727581,0,0,0,0
994,3,0.70826036186,0,0,0,0
996,3,0.712322372521,0,0,0,0
1007,9,0.714127112253,3.005669723310895,1.5208696693499738e-4,0.04356282049782566,24.59991481476889
1011,3,0.71245463186,0,0,0,0
1013,4,0.708246553669,0,0,0,0
1016,3,0.708257116372,0,0,0,0
1017,9,0.714147709538,2.126338437053048,1.0759278075718598e-4,0.030818189680845345,17.403024694694075
1019,3,0.708088349265,0,0,0,0
1021,9,0.714154992216,0,0,0,0
1023,3,0.70954529401,0,0,0,0
1026,4,0.708096677344,0,0,0,0
1027,4,0.708115780276,0,0,0,0
1031,4,0.712448502092,0,0,0,0
1034,4,0.707874615148,0,0,0,0
1038,4,0.712445612132,0,0,0,0
1048,3,0.705024016385,0,0,0,0
1049,9,0.714083669777,4.133586208346266,2.0915957069934297e-4,0.05991033299830407,33.831351401048025
1055,4,0.712398677577,0,0,0,0
1060,3,0.704651120552,0,0,0,0
1062,3,0.712446357432,0,0,0,0
1066,3,0.711875076698,0,0,0,0
1069,3,0.711612235467,0,0,0,0
1075,9,0.714174271037,0,0,0,0
1076,4,0.707642941533,0,0,0,0
1080,3,0.705023369898,0,0,0,0
1082,4,0.707955937909,0,0,0,0
1083,3,0.7067711295,0,0,0,0
1092,4,0.708265235686,0,0,0,0
1096,3,0.70687973734,0,0,0,0
1097,4,0.708254558534,0,0,0,0
1104,3,0.70385727761,0,0,0,0
1107,3,0.705154811965,0,0,0,0
1110,3,0.706432962307,0,0,0,0
1116,4,0.708063675752,0,0,0,0
1120,4,0.705268401528,0,0,0,0
1126,5,0.710587710094,0,0,0,0
1131,4,0.70830029048,0,0,0,0
1132,3,0.708090607281,0,0,0,0
1137,5,0.710856944575,0,0,0,0
